iter	Passed	Remaining
547	15699	22660
548	15727	22632
549	15756	22603
550	15782	22570
551	15810	22542
552	15840	22514
553	15868	22484
554	15895	22453
555	15923	22424
556	15950	22394
557	15976	22361
558	16004	22331
559	16031	22301
560	16058	22269
561	16087	22242
562	16114	22210
563	16144	22184
564	16173	22156
565	16201	22127
566	16229	22097
567	16255	22065
568	16283	22035
569	16313	22009
570	16342	21980
571	16369	21950
572	16395	21917
573	16424	21889
574	16455	21864
575	16483	21835
576	16511	21805
577	16538	21775
578	16565	21744
579	16592	21713
580	16621	21685
581	16650	21656
582	16675	21624
583	16703	21594
584	16730	21563
585	16760	21536
586	16789	21509
587	16821	21484
588	16851	21457
589	16882	21431
590	16915	21408
591	16948	21386
592	16980	21361
593	17012	21337
594	17046	21314
595	17103	21321
596	17133	21294
597	17166	21272
598	17198	21247
599	17234	21226
600	17267	21203
601	17295	21173
602	17321	21142
603	17348	21111
604	17374	21079
605	17403	21051
606	17433	21023
607	17462	20995
608	17494	20970
609	17524	20943
610	17557	20919
611	17587	20891
612	17631	20881
613	17661	20854
614	17694	20831
615	17727	20807
616	17759	20781
617	17786	20750
618	17817	20725
619	17847	20697
620	17879	20672
621	17906	20641
622	17937	20614
623	17968	20589
624	17998	20561
625	18028	20534
626	18060	20508
627	18092	20483
628	18121	20454
629	18157	20434
630	18191	20411
631	18228	20391
632	18262	20368
633	18290	20338
634	18320	20311
635	18350	20283
636	18378	20253
637	18410	20228
638	18440	20200
639	18468	20171
640	18498	20143
641	18527	20114
642	18556	20086
643	18587	20059
644	18619	20033
645	18649	20005
646	18676	19975
647	18706	19948
648	18737	19920
649	18764	19890
650	18793	19861
651	18820	19830
652	18851	19803
653	18878	19773
654	18907	19744
655	18941	19720
656	18970	19692
657	19001	19665
658	19031	19637
659	19060	19609
660	19092	19583
661	19123	19556
662	19153	19528
663	19184	19501
664	19217	19477
665	19247	19449
666	19276	19420
667	19303	19389
668	19332	19361
669	19360	19331
670	19389	19302
671	19416	19272
672	19448	19245
673	19474	19214
674	19505	19187
675	19538	19162
676	19563	19130
677	19593	19102
678	19621	19072
679	19650	19043
680	19676	19011
681	19700	18978
682	19726	18946
683	19753	18915
684	19779	18884
685	19806	18853
686	19834	18824
687	19863	18795
688	19890	18764
689	19918	18734
690	19951	18710
691	19982	18683
692	20012	18655
693	20041	18626
694	20069	18596
695	20095	18565
696	20122	18534
697	20154	18508
698	20183	18480
699	20211	18450
700	20239	18420
701	20266	18389
702	20294	18360
703	20322	18330
704	20350	18300
705	20393	18285
706	20422	18256
707	20452	18227
708	20478	18196
709	20506	18167
710	20537	18139
711	20564	18109
712	20591	18079
713	20620	18050
714	20649	18021
715	20677	17991
716	20701	17959
717	20728	17928
718	20756	17898
719	20785	17869
720	20814	17840
721	20843	17811
722	20872	17783
723	20898	17752
724	20929	17724
725	20955	17694
726	20985	17665
727	21011	17634
728	21038	17603
729	21063	17572
730	21093	17543
731	21119	17512
732	21147	17483
733	21174	17453
734	21202	17423
735	21226	17391
736	21254	17361
737	21284	17333
738	21312	17303
739	21338	17272
740	21365	17242
741	21394	17213
742	21421	17183
743	21451	17155
744	21477	17124
745	21505	17095
746	21536	17067
747	21566	17039
748	21591	17008
749	21619	16978
750	21645	16947
751	21672	16917
752	21700	16887
753	21731	16860
754	21760	16832
755	21790	16803
756	21818	16774
757	21847	16746
758	21872	16714
759	21900	16684
760	21926	16653
761	21955	16625
762	21982	16595
763	22009	16564
764	22034	16533
765	22060	16502
766	22085	16470
767	22116	16443
768	22146	16415
769	22173	16385
770	22201	16355
771	22228	16326
772	22256	16296
773	22285	16267
774	22310	16236
775	22335	16204
776	22361	16173
777	22388	16143
778	22415	16113
779	22444	16084
780	22468	16052
781	22494	16022
782	22520	15991
783	22545	15960
784	22573	15930
785	22601	15901
786	22626	15869
787	22654	15841
788	22684	15813
789	22715	15785
790	22739	15753
791	22765	15723
792	22791	15692
793	22819	15663
794	22846	15633
795	22873	15603
796	22901	15574
797	22930	15545
798	22957	15515
799	22983	15485
800	23012	15456
801	23040	15427
802	23063	15394
803	23092	15366
804	23121	15337
805	23151	15310
806	23181	15281
807	23212	15254
808	23240	15225
809	23266	15194
810	23293	15165
811	23320	15135
812	23345	15104
813	23371	15073
814	23398	15043
815	23424	15013
816	23450	14983
817	23475	14952
818	23501	14921
819	23528	14891
820	23557	14863
821	23585	14834
822	23614	14805
823	23643	14777
824	23674	14749
825	23705	14722
826	23732	14693
827	23761	14664
828	23787	14634
829	23814	14604
830	23843	14575
831	23870	14546
832	23899	14517
833	23924	14486
834	23951	14456
835	23980	14428
836	24008	14399
837	24035	14369
838	24063	14340
839	24092	14311
840	24123	14284
841	24155	14258
842	24182	14228
843	24209	14198
844	24234	14168
845	24262	14138
846	24289	14109
847	24317	14079
848	24342	14049
849	24368	14019
850	24395	13989
851	24421	13959
852	24449	13930
853	24476	13900
854	24505	13871
855	24531	13841
856	24564	13815
857	24611	13797
858	24662	13781
859	24703	13759
860	24732	13730
861	24758	13700
862	24787	13671
863	24812	13641
864	24836	13609
865	24865	13581
866	24895	13553
867	24924	13524
868	24953	13496
869	24983	13468
870	25012	13439
871	25043	13412
872	25072	13383
873	25100	13354
874	25128	13325
875	25155	13295
876	25184	13267
877	25211	13237
878	25241	13209
879	25266	13178
880	25292	13148
881	25318	13118
882	25346	13089
883	25372	13059
884	25397	13028
885	25424	12999
