iter	Logloss
359	0.3742399534
360	0.3741913053
361	0.3741526054
362	0.3740897595
363	0.3740465197
364	0.3740070121
365	0.3739693494
366	0.3739393439
367	0.3739119726
368	0.3738581537
369	0.373744308
370	0.3736870579
371	0.3735295315
372	0.3734756177
373	0.3733598082
374	0.3733227711
375	0.3732833057
376	0.3732490929
377	0.3732161338
378	0.3731774919
379	0.3731392064
380	0.373040044
381	0.3729313954
382	0.3728367862
383	0.3727042873
384	0.3726670206
385	0.3726051646
386	0.3725241698
387	0.3724858631
388	0.3724429901
389	0.3723950811
390	0.3723550535
391	0.3723323461
392	0.3722608824
393	0.3722283509
394	0.3721949933
395	0.3721414542
396	0.3720829661
397	0.3720565107
398	0.3720347034
399	0.3720030112
400	0.3719605105
401	0.3719280819
402	0.3718354787
403	0.3717364404
404	0.3717136802
405	0.3716818825
406	0.3715377119
407	0.3715079149
408	0.3714733404
409	0.3714094335
410	0.3713307509
411	0.3712817121
412	0.3712547499
413	0.371222939
414	0.3711865116
415	0.3711452593
416	0.3711075518
417	0.3710004288
418	0.3709662793
419	0.3708694371
420	0.3708437999
421	0.3708121315
422	0.3707690764
423	0.3707322294
424	0.3707071175
425	0.370598065
426	0.3705448585
427	0.3705137656
428	0.3704785946
429	0.3704506426
430	0.3703934162
431	0.3703463808
432	0.3703165231
433	0.3702922241
434	0.3702582119
435	0.3702276916
436	0.3701674958
437	0.3701308864
438	0.37009249
439	0.3700497015
440	0.370024381
441	0.3699601363
442	0.3699315877
443	0.36988763
444	0.369859963
445	0.3697387294
446	0.3697151932
447	0.3696820943
448	0.3696489293
449	0.3696051404
450	0.3695725482
451	0.369473407
452	0.3694290454
453	0.3693832321
454	0.3693006351
455	0.3692551807
456	0.3692189566
457	0.3691248198
458	0.3690667198
459	0.3690438804
460	0.3690086356
461	0.3689652849
462	0.3688657002
463	0.3688294286
464	0.3687852702
465	0.3687499435
466	0.3687196688
467	0.3686917247
468	0.368659143
469	0.3686401995
470	0.3686022149
471	0.3685506422
472	0.3684994127
473	0.3684742058
474	0.3684418142
475	0.3684148203
476	0.3683799344
477	0.3683584702
478	0.3683008373
479	0.3682597671
480	0.3682242583
481	0.3681179694
482	0.3680723883
483	0.3680557122
484	0.3679566211
485	0.3679220467
486	0.3678886177
487	0.3678607423
488	0.367784026
489	0.367749631
490	0.367723297
491	0.3676850036
492	0.3676464778
493	0.3676169685
494	0.3675452857
495	0.3675222379
496	0.3674099283
497	0.3673596886
498	0.3672848596
499	0.3672145282
500	0.3671864706
501	0.3671243269
502	0.3670840987
503	0.3670307945
504	0.3670017102
505	0.3669462628
506	0.366916479
507	0.366869111
508	0.3668353918
509	0.3667901327
510	0.3667666124
511	0.3667433877
512	0.3666632216
513	0.3666409207
514	0.3666131139
515	0.3665596751
516	0.3665219254
517	0.3664394841
518	0.3663598301
519	0.366275243
520	0.3662414313
521	0.3662143794
522	0.3661814467
523	0.3661353245
524	0.366108423
525	0.3660732521
526	0.3660126603
527	0.3659789833
528	0.3659572605
529	0.3659355878
530	0.365920841
531	0.365890429
532	0.3658593334
533	0.3658259414
534	0.3658006051
535	0.3657642886
536	0.3657372604
537	0.3657061094
538	0.3656844446
539	0.3656078234
540	0.3655821519
541	0.3654789828
542	0.3654559561
543	0.3654000124
544	0.3653801451
545	0.365343636
546	0.3653067361
547	0.3652881727
548	0.3652630687
549	0.3651452875
550	0.3650827954
551	0.3650507469
552	0.3650127491
553	0.3649968568
554	0.3649633672
555	0.3649417631
556	0.3648853866
557	0.3647934406
558	0.3647656734
559	0.3647386874
560	0.3647192345
561	0.3646906015
562	0.3646642226
563	0.3646316225
564	0.3645994579
565	0.3645703867
566	0.3644936071
567	0.364464272
568	0.3644364784
569	0.364407848
570	0.3643749338
571	0.3643460817
572	0.3643143394
573	0.3642764947
574	0.3642369079
575	0.3642146228
576	0.3641323188
577	0.3640836416
578	0.364056719
579	0.3640214979
580	0.3639578022
581	0.3639097822
582	0.3638781614
583	0.3638279111
584	0.3638005926
585	0.3637642893
586	0.3637052575
587	0.3636689885
588	0.3636372541
589	0.3636057441
590	0.3635754535
591	0.3635407761
592	0.3635193911
593	0.3634868675
594	0.3634659339
595	0.3634298549
596	0.363410658
597	0.3633845669
598	0.3633570477
599	0.3633320915
600	0.3633073887
601	0.3632818465
602	0.3632533508
603	0.3631802427
604	0.3631611144
605	0.3631409541
606	0.3631120308
607	0.3630851135
608	0.3630679886
609	0.3630233472
610	0.3629604829
611	0.3629060569
612	0.3628404502
613	0.3628164099
614	0.3627945181
615	0.362772885
616	0.3627375214
617	0.3626987053
618	0.3626587674
619	0.3626387285
620	0.3625667792
621	0.362539326
622	0.3625137469
623	0.3624631482
624	0.3623883429
625	0.3623625342
626	0.3623146779
627	0.3622776012
628	0.3622614239
629	0.3621983273
630	0.3621690054
631	0.362134951
632	0.3621126949
633	0.3620342868
634	0.3620069946
635	0.3619749435
636	0.3619545826
637	0.361892885
638	0.3618714181
639	0.3618518649
640	0.3618172403
641	0.3617936197
642	0.3617713637
643	0.3617403499
644	0.3617136014
645	0.3616311813
646	0.361613217
647	0.3615833989
648	0.3615567271
649	0.3615159129
650	0.3614873749
651	0.3614658447
652	0.3614348943
653	0.3614048703
654	0.3613750311
655	0.3613509987
656	0.3613232605
657	0.3612850356
658	0.3612598049
659	0.3612336952
660	0.3612093619
661	0.3611842606
662	0.3611379325
663	0.3611067921
664	0.3610772801
665	0.3610573653
666	0.3610258843
667	0.3610100184
668	0.3609806042
669	0.3609399405
670	0.3609130812
671	0.3608980705
672	0.3608731592
673	0.3608482241
674	0.3608295208
675	0.3607961631
676	0.3607758207
677	0.3607238495
678	0.3606974416
679	0.3606742538
680	0.3606433086
681	0.3606217178
682	0.3605996043
683	0.3605762265
684	0.360546411
685	0.3604956196
686	0.3604501494
687	0.3604210941
688	0.3604034836
689	0.3603844846
690	0.3603543102
691	0.3603250041
692	0.3603016316
693	0.360276649
694	0.3602455349
695	0.3602174852
696	0.3601929724
697	0.3601566322
698	0.3601240136
699	0.3601003217
700	0.3600747426
701	0.3600444467
702	0.3600061638
703	0.3599724709
704	0.3599420669
705	0.3598856666
706	0.3598517863
707	0.3598081031
708	0.3597831733
709	0.3597476697
710	0.3596787162
711	0.3596536016
712	0.3596340774
713	0.359606223
714	0.3595852076
715	0.3595598845
716	0.3595422264
717	0.3595240431
718	0.3594926967
719	0.3594277155
720	0.3594070881
721	0.3593916023
722	0.3593642969
723	0.3593379576
724	0.3592967159
725	0.3592550729
726	0.3592084995
727	0.3591863728
728	0.359156845
729	0.3591344913
730	0.3591085664
731	0.359064284
732	0.3590467104
733	0.359016528
734	0.3589944198
735	0.3589784193
736	0.3589632371
737	0.358941076
738	0.3588984908
739	0.3588690079
740	0.358837614
741	0.3588013081
742	0.3587844075
743	0.3587476186
744	0.3587292267
745	0.3586918175
746	0.3586482609
747	0.3586245664
748	0.3586024318
749	0.3585683245
750	0.3585488056
751	0.3585168891
752	0.3584954883
753	0.3584646328
754	0.3584441004
755	0.3584175077
756	0.3583932061
757	0.358341153
758	0.35832165
759	0.3582959785
760	0.3582757997
761	0.3582204236
762	0.3581950662
763	0.3581749639
764	0.3581094654
765	0.3580846676
766	0.358045445
767	0.3580239413
768	0.3579932099
769	0.3579697872
770	0.3579428144
771	0.3579182673
772	0.3578985135
773	0.357875017
774	0.3578593438
775	0.3578381778
776	0.3578223753
777	0.3577991532
778	0.3577664264
779	0.3577046443
780	0.357685355
781	0.3576649572
782	0.3576471249
783	0.3576312828
784	0.3576008259
785	0.3575723381
786	0.357555588
787	0.3575259626
788	0.3575042925
789	0.3574814532
790	0.3574674112
791	0.357441832
792	0.3574120377
793	0.3573789334
794	0.3573359127
795	0.3573122366
796	0.3572868343
797	0.3572614083
798	0.3572369272
799	0.3572107304
800	0.3571875664
801	0.3571595167
802	0.3571452161
803	0.35711345
804	0.3570959952
805	0.357066668
806	0.3570499153
807	0.3570202476
808	0.3569894635
809	0.3569702296
810	0.356951199
811	0.3569278714
812	0.3568822613
813	0.3568724451
814	0.3568500228
815	0.3568286906
816	0.35680474
817	0.356788692
818	0.3567740297
819	0.3567397667
820	0.356706673
821	0.356681569
822	0.356644722
823	0.3566057132
824	0.3565870997
825	0.356557791
826	0.3565332228
827	0.356508454
828	0.3564819484
829	0.3564561264
830	0.3563878169
831	0.3563638637
832	0.3563412988
833	0.3563191352
834	0.356294984
835	0.3562620064
836	0.3562321962
837	0.3562166497
838	0.3561915008
839	0.3561357209
840	0.3561105905
841	0.3560833696
842	0.3560658699
843	0.3560441708
844	0.3560207534
845	0.3559868626
846	0.3559658392
847	0.3559371983
848	0.3559187563
849	0.3559003776
850	0.3558830442
851	0.3558702164
852	0.3558430958
853	0.3558151675
854	0.3557541614
855	0.3557319159
856	0.3557057297
857	0.3556886603
858	0.355652291
859	0.3556213405
860	0.3555988443
861	0.3555829494
862	0.3555368827
863	0.3555087961
864	0.3554980191
865	0.3554679608
866	0.3554410303
867	0.3554194895
868	0.3553911495
869	0.3553643773
870	0.3553315238
871	0.3553089352
872	0.3552834036
873	0.355253047
874	0.3552303423
875	0.3552029103
876	0.3551522192
877	0.3551199913
878	0.3550740908
879	0.3550627912
880	0.3550406566
881	0.3549869275
882	0.3549603269
883	0.3549400611
884	0.3549236145
885	0.3548968872
